LYLTY_CARD_NBR,TOTAL_SPENDING,TOTAL_TRANSACTIONS,AVG_SALES,LIFESTAGE,PREMIUM_CUSTOMER
1000,6.0,1,6.0,YOUNG SINGLES/COUPLES,Premium
1002,2.7,1,2.7,YOUNG SINGLES/COUPLES,Mainstream
1003,6.6,2,3.3,YOUNG FAMILIES,Budget
1004,1.9,1,1.9,OLDER SINGLES/COUPLES,Mainstream
1005,2.8,1,2.8,MIDAGE SINGLES/COUPLES,Mainstream
1007,6.5,2,3.25,YOUNG SINGLES/COUPLES,Budget
1009,5.7,1,5.7,NEW FAMILIES,Premium
1010,13.9,2,6.95,YOUNG SINGLES/COUPLES,Mainstream
1011,18.0,4,4.5,OLDER SINGLES/COUPLES,Mainstream
1012,10.3,2,5.15,OLDER FAMILIES,Mainstream
1013,8.1,2,4.05,RETIREES,Budget
1016,8.600000000000001,2,4.300000000000001,OLDER FAMILIES,Mainstream
1018,10.0,3,3.3333333333333335,YOUNG SINGLES/COUPLES,Mainstream
1019,3.1,1,3.1,OLDER SINGLES/COUPLES,Premium
1020,11.4,3,3.8000000000000003,YOUNG SINGLES/COUPLES,Mainstream
1022,4.6,1,4.6,OLDER FAMILIES,Budget
1023,3.0,1,3.0,MIDAGE SINGLES/COUPLES,Premium
1024,3.0,1,3.0,YOUNG SINGLES/COUPLES,Premium
1025,6.0,1,6.0,YOUNG FAMILIES,Budget
1026,2.1,1,2.1,MIDAGE SINGLES/COUPLES,Premium
1027,8.1,2,4.05,OLDER FAMILIES,Premium
1028,2.7,1,2.7,YOUNG SINGLES/COUPLES,Budget
1030,5.4,1,5.4,RETIREES,Mainstream
1034,6.8,2,3.4,RETIREES,Premium
1038,6.0,1,6.0,OLDER FAMILIES,Mainstream
1039,3.0,1,3.0,YOUNG FAMILIES,Mainstream
1042,11.3,4,2.825,YOUNG SINGLES/COUPLES,Premium
1043,3.3,1,3.3,YOUNG FAMILIES,Budget
1044,3.0,1,3.0,YOUNG FAMILIES,Mainstream
1046,4.2,1,4.2,YOUNG SINGLES/COUPLES,Budget
1048,12.100000000000001,3,4.033333333333334,OLDER FAMILIES,Mainstream
1050,3.0,1,3.0,YOUNG FAMILIES,Budget
1051,5.8,1,5.8,YOUNG SINGLES/COUPLES,Budget
1052,3.3,1,3.3,MIDAGE SINGLES/COUPLES,Budget
1053,9.0,2,4.5,MIDAGE SINGLES/COUPLES,Mainstream
1054,7.5,2,3.75,NEW FAMILIES,Mainstream
1055,2.6,1,2.6,RETIREES,Mainstream
1056,3.9,1,3.9,MIDAGE SINGLES/COUPLES,Mainstream
1057,16.2,3,5.3999999999999995,MIDAGE SINGLES/COUPLES,Mainstream
1060,17.4,3,5.8,YOUNG SINGLES/COUPLES,Mainstream
1061,3.3,1,3.3,OLDER SINGLES/COUPLES,Budget
1062,4.4,2,2.2,YOUNG FAMILIES,Premium
1064,6.4,2,3.2,YOUNG FAMILIES,Budget
1065,8.2,3,2.733333333333333,MIDAGE SINGLES/COUPLES,Premium
1067,1.7,1,1.7,OLDER SINGLES/COUPLES,Mainstream
1068,4.6,2,2.3,YOUNG SINGLES/COUPLES,Premium
1071,7.199999999999999,2,3.5999999999999996,YOUNG FAMILIES,Mainstream
1072,7.5,2,3.75,NEW FAMILIES,Premium
1074,2.6,1,2.6,RETIREES,Budget
